销量排名,动画名称,累计销量,放送时间,制作公司
1,EVA,223826,1995,GAINAX
2,赛马娘 Pretty Derby Season 2,193581,2021,STUDIO KAI
3,化物语,110291,2009,SHAFT
4,机动战士高达,103303,1979,Sunrise
5,LoveLive!第二季,95607,2014,Sunrise
6,机动战士高达SEED DESTINY,89625,2004,Sunrise
7,机动战士高达SEED,87969,2002,Sunrise
8,魔法少女小圆,84256,2011,SHAFT
9,凉宫春日的忧郁,79195,2006,京都动画
10,Code Geass 反叛的鲁路修,72603,2006,Sunrise
11,少女与战车,68569,2012,Actas
12,阿松第一季,68057,2015,PIERROT
13,YURI!!! on ICE,67989,2016,MAPPA
14,Love Live!,66019,2013,Sunrise
15,星际牛仔,65342,1998,Sunrise
16,伪物语,64610,2012,SHAFT
17,Code Geass 反叛的鲁路修 R2,64204,2008,Sunrise
18,Macross F,61811,2008,SATELIGHT
19,LoveLive!Sunshine!!,61140,2016,Sunrise
20,机动战士Z高达,59909,1985,Sunrise
21,轻音少女,58717,2009,京都动画
22,Fate/Zero First Season,56368,2011,Ufotable
23,碧蓝幻想,56295,2017,A-1 Pictures
24,凉宫春日的忧郁2009,55643,2009,京都动画
25,钢之炼金术师,55266,2003,BONES
26,LoveLive!Sunshine!! 第二季,53070,2017,Sunrise
27,龙珠GT,52923,1996,东映动画
28,机动战士高达00,52662,2007,Sunrise
29,进击的巨人,52217,2013,WIT STUDIO
30,Fate/Zero Second Season,50039,2012,Ufotable
31,轻音少女第二季,49934,2010,京都动画
32,机动战士高达00第二季,47910,2008,Sunrise
33,物语系列 2nd season,45637,2013,SHAFT
34,刀剑神域,45419,2012,A-1 Pictures
35,我们仍未知道那天所看见的花的名字。,45192,2011,A-1 Pictures
36,机动战舰Nadesico,45025,1996,XEBEC
37,Fate stay night [Unlimited Blade Works] First Season,42948,2014,Ufotable
38,新机动战记高达W,41287,1995,Sunrise
39,Angel Beats!,41241,2010,P.A.WORKS
40,龙珠Z,40471,1989,东映动画
41,未来少年柯南,39803,1978,日本动画公司
42,蓝宝石之谜,39283,1990,GAINAX
43,Fate stay night [Unlimited Blade Works] Second Season,39657,2015,Ufotable
44,TIGER & BUNNY,39351,2011,Sunrise
45,幸运星,37670,2007,京都动画
46,Infinite Stratos,36872,2011,8-bit
47,歌之王子殿下 真爱革命,35407,2015,A-1 Pictures
48,天元突破红莲螺岩,35323,2007,GAINAX
49,鲁邦三世,35304,1971,TMS
50,某科学的超电磁炮,35002,2009,J.C.STAFF
51,水星领航员第三季,34953,2008,Hal Film Maker
52,龙与虎,34786,2008,J.C.STAFF
53,水星领航员,34650,2005,Hal Film Maker
54,Fate/stay night,34127,2006,Studio DEEN
55,歌之王子殿下第二季,33543,2013,A-1 Pictures
56,Free！,32911,2013,京都动画
57,女神异闻录4,32333,2011,AIC
58,公主连结Re:Dive,32219,2020,CygamesPictures
59,强袭魔女,32073,2008,GONZO
60,头文字D Fourth Stage,32058,2004,ACGT
61,魔法少女小樱库洛牌篇第一季,31817,1998,MADHOUSE
62,机动警察,31793,1989,Sunrise
63,攻壳机动队 S.A.C. 2nd GIG,31604,2004,Production I.G
64,CLANNAD,31496,2007,京都动画
65,水星领航员第二季,31403,2006,Hal Film Maker
66,魔法少女奈叶StrikerS,31202,2007,Seven Arcs
67,命运石之门,30554,2011,WHITE FOX
68,我的妹妹不可能这么可爱,30115,2010,AIC
69,美少女战士,29687,1992,东映动画
70,魔法少女小樱小樱牌篇,29559,1999,MADHOUSE
71,莉可丽丝,29400,2022,A-1 Pictures
72,魔法少女小樱库洛牌篇第二季,29147,1999,MADHOUSE
73,攻壳机动队 S.A.C.,29123,2002,Production I.G
74,境界线上的地平线,29117,2011,Sunrise
75,歌之王子殿下第四季,28921,2016,A-1 Pictures
76,鬼灭之刃,28865,2019,Ufotable
77,紫罗兰永恒花园,28330,2018,京都动画
78,境界线上的地平线第二季,28184,2012,Sunrise
